"%Inc Armour from Tree","방어 증가%(트리)"
"Decree of the Grave","무덤의 법령"
"Decree of Thunder","천둥의 법령"
"Decree of Winter","겨울의 법령"
"Desecrate","모독"
"Determination","결의"
"Detonate Mines","지뢰 폭발"
"Discharge","방출"
"Divine Ire","신성한 진노"
"Doom Blast","파멸 폭발"
"Double Slash","이중 슬래시"
"Dread Banner","공포의 깃발"
"Earthquake","지진"
"Edict of Blades","칼날의 칙령"
"Edict of Force","힘의 칙령"
"Edict of Fury","광분의 칙령"
"Edict of Ire","노여움의 칙령"
"Edict of Reflection","투영의 칙령"
"Edict of the Grave","무덤의 칙령"
"Edict of Thunder","천둥의 칙령"
"Edict of Winter","겨울의 칙령"
"Elemental Aegis","원소의 비호"
"Elemental Damage with Attacks","공격 시 원소 피해 보조"
"Elemental Hit","원소의 일격"
"Elemental Penetration","원소 관통 보조"
"Elemental Warding","원소의 수호"
"Embrace Madness","광기의 수용"
"Endurance Charge on Melee Stun","기절 시 인내 충전 보조"
"Energy Explosion","에너지 폭발"
"Enfeeble","쇠약화"
"Enlighten","계몽 보조"
"Envy","선망"
"Ethereal Knives","천상의 단도"
"Explosion (1 fuse)","폭발 (1퓨즈)"
"Explosion (15 fuses)","폭발 (15퓨즈)"
"Explosion (5 fuses)","폭발 (5 퓨즈)"
"Explosive Arrow","폭발 화살"
"Explosive Trap","폭발 덫"
"Faster Casting","시전 속도 증가 보조"
"Feeding Frenzy","격분 주입 보조"
"Fire Penetration","화염 관통 보조"
"Fireball","화염구"
"Fist of War","전쟁의 주먹 보조"
"Flame Surge","화염 쇄도"
"Flameblast","화염파"
"Flammability","인화성"
"Flesh Offering","살점 공물"
"Fog of War","전장의 안개"
"Fortify","방어 상승 보조"
"Frenzy","격분"
"Frost Bomb","서리 폭탄"
"Frost Wall","서리 방벽"
"Frostblink","서리점멸"
"Galvanic Arrow","충격 화살"
"Generosity","관대함 보조"
"Glacial Hammer","빙하 망치"
"Grace","은총"
"Greater Volley","상위 사격 공세 보조"
"Haste","가속"
"Heavy Strike","묵직한 타격"
"Herald of Ash","재의 전령"
"Herald of Purity","순수의 전령"
"Hexblast","사술 폭발"
"High-Impact Mine","고충격 지뢰 보조"
"Hydrosphere","물의 구체"
"Ice Bite","얼음 쐐기 보조"
"Ice Nova","얼음 폭발"
"Ice Spear","얼음 창"
"Icestorm","얼음태풍"
"Icicle Mine","고드름 지뢰"
"Illusory Warp","환상의 차원"
"Immortal Call","불멸의 외침"
"Impending Doom","임박한 멸망 보조"
"Increased Area of Effect","효과 범위 증가 보조"
"Increased Critical Strikes","치명타 증가 보조"
"Infernal Blow","지옥불 맹타"
"Infernal Legion","지옥불 군단 보조"
"Innervate","자극 보조"
"Intensify","격화 보조"
"Iron Grip","강철 손아귀 보조"
"Item Quantity","아이템 드랍 증가 보조"
"Kinetic Blast","역학 폭발"
"Knockback","밀어내기 보조"
"Lancing Steel","강철 관통"
"Less Duration","지속시간 감소 보조"
"Lesser Poison","하급 중독 보조"
"Life Leech","생명력 흡수 보조"
"Lightning Arrow","번개 화살"
"Lightning Penetration","번개 관통 보조"
"Lightning Strike","번개 타격"
"Lightning Trap","번개 덫"
"Magma Orb","마그마 보주"
"Malevolence","악의"
"Manifest Dancing Dervish","춤추는 수도승 출현"
"Melee hit","근접 명중"
"Melee Splash","근접 범위 피해 보조"
"Minion Damage","소환수 피해"
"Minion Speed","소환수 속도 보조"
"Mirror Arrow","거울 화살"
"Molten Shell","용암 방패"
"Multiple Totems","다중 토템 보조"
"Multistrike","연속타격 보조"
"No stages","0 단계"
"Orb of Storms","폭풍 보주"
"Perforate","천공"
"Phase Run","위상 질주"
"Physical to Lightning","물리 번개 전환 보조"
"Pinpoint","핵심 조준 보조"
"Poacher's Mark","밀렵꾼의 징표"
"Poison","중독 보조"
"Power Charge On Critical","치명타 시 권능 충전 보조"
"Precision","정밀함"
"Pride","자부심"
"Projectiles","투사체"
"Puncture","관통상"
"Purifying Flame","정화의 불길"
"Purity of Fire","불의 순수함"
"Purity of Lightning","번개의 순수함"
"Rage","격노 보조"
"Raise Spectre","망령 소환"
"Raise Zombie","좀비 소환"
"Ranged Attack Totem","원거리 공격 토템 보조"
"Reckoning","역습"
"Rejuvenation Totem","회복 토템"
"Release at 10 Stages","10 단계 출시"
"Release at 5 Stages","5 단계 출시"
"Righteous Fire","정의의 화염"
"Rolling Magma","몰려오는 마그마"
"Ruthless","무자비 보조"
"Scorching Ray","작열 광선"
"Searing Bond","불타는 굴레"
"Seismic Cry","지진 함성"
"Shade Form","그림자 형상"
"Shield","방패"
"Shield Shatter","방패 파괴"
"Shock Nova","충격 폭발"
"Shockwave Totem","충격파 토템"
"Shrapnel Shot","파편 사격"
"Sigil of Power","힘의 부적"
"Slower Projectiles","투사체 감속 보조"
"Smoke Mine","연막 지뢰"
"Sniper's Mark","저격수의 징표"
"Spark","전기불꽃"
"Spectral Throw","환영 무기 투척"
"Spell Echo","주문 메아리 보조"
"Spellslinger","주문투척"
"Spirit Offering","영혼 공물"
"Split Projectile","분할 투사체 보조"
"Stalking Pustule","농포 확산"
"Steelskin","강철피부"
"Storm Burst","폭풍 점사"
"Storm Cascade","폭풍 폭포"
"Stormblast Mine","태풍 파열 지뢰"
"Summon Bestial Rhoa","흉포한 로아 소환"
"Summon Bestial Ursa","흉포한 곰 소환"
"Summon Chaos Golem","카오스 골렘 소환"
"Summon Greater Harbinger of Brutality","상위 포학한 선구자 소환"
"Summon Greater Harbinger of Focus","상위 집중의 선구자 소환"
"Summon Greater Harbinger of the Arcane","상위 비전의 선구자 소환"
"Summon Harbinger of Brutality","포악한 선구자 소환"
"Summon Harbinger of Focus","집중의 선구자 소환"
"Summon Harbinger of the Arcane","비전의 선구자 소환"
"Summon Holy Relic","신성한 유물 소환"
"Summon Lightning Golem","번개 골렘 소환"
"Summon Raging Spirit","격노의 유령 소환"
"Summon Skitterbots","원격 기폭 장치 소환"
"Summon Stone Golem","돌 골렘 소환"
"Summon Volatile Anomaly","폭발성 이형 소환"
"Sweep","휩쓸기"
"Swift Assembly","재빠른 조립 보조"
"Tawhoa's Chosen","타호아의 선택받은 자"
"Tempest Shield","폭풍의 방패"
"Tentacle Whip","촉수 채찍"
"Toxic Rain","맹독성 비"
"Trap and Mine Damage","덫 및 지뢰 피해 보조"
"Trinity","삼위일체 보조"
"Unearth","발굴"
"Unseen Strike","보이지 않는 일격"
"Vaal Ancestral Warchief","바알 선대 대전사"
"Vaal Blade Vortex","바알 칼날 소용돌이"
"Vaal Breach","바알 균열"
"Vaal Clarity","바알 명상"
"Vaal Cyclone","바알 회오리바람"
"Vaal Discipline","바알 단련"
"Vaal Earthquake","바알 지진"
"Vaal Flameblast","바알 화염파"
"Vaal Grace","바알 은총"
"Vaal Haste","바알 가속"
"Vaal Immortal Call","바알 불멸의 외침"
"Vaal Impurity of Ice","바알 얼음의 부정함"
"Vaal Lightning Strike","바알 번개 타격"
"Vaal Lightning Warp","바알 번개 차원 이동"
"Vaal Power Siphon","바알 권능 착취"
"Vaal Reave","바알 약탈"
"Vaal Spark","바알 전기불꽃"
"Vaal Storm Call","바알 폭풍 부름"
"Vengeance","복수"
"Vicious Projectiles","포악한 투사체 보조"
"Vile Toxins","끔찍한 독소 보조"
"Vitality","활력"
"Void Manipulation","공허 조작 보조"
"Void Sphere","공허 구체"
"Volley","사격 공세 보조"
"Vulnerability","취약성"
"Warlord's Mark","전쟁군주의 징표"
"Whirling Blades","칼날 선회"
"Winter Orb","겨울 보주"
"Wither","위축"
"Withering Touch","위축의 손길 보조"
"Word of Flames","화염의 명령"
"Word of Frost","서리의 명령"
"Word of Inferno","지옥불의 명령"
"Word of Light","빛의 명령"
"Word of Spite","원한의 명령"
"Word of the Tempest","폭풍의 명령"
"Word of War","전쟁의 명령"
"Wrath","진노"
"AoE","범위"
"Attack","공격"
"Blink","점멸"
"Brand","낙인"
"Channelling","집중 유지"
"Cold","냉기"
"Duration","지속시간"
"Golem","골렘"
"Herald","전령"
"Lightning","번개"
"Mine","지뢰"
"Nova","폭발"
"Projectile","투사체"
"Spell","주문"
"Strike","타격"
"Totem","토템"
"Trigger","발동"
"Warcry","함성"
"%Inc ES from Tree:","%에너지보호막 증가(패시브):"
"%Inc Life from Tree:","%생명력 증가(패시브):"
"(Cannot apply to any of the active skills)","(어떤 액티브 스킬에도 적용할 수 없습니다.)"
"(Unsupported)","(지원되지 않음)"
"^x7F7F7FArmour:","^x7F7F7F방어:"
"^x7F7F7FCast Time:","^x7F7F7F시전 시간:"
"^x7F7F7FChaos Damage:","^x7F7F7F카오스 피해:"
"^x7F7F7FCritical Strike Chance:","^x7F7F7F치명타 확률:"
"^x7F7F7FElemental Damage:","^x7F7F7F원소 피해:"
"^x7F7F7FEnergy Shield:","^x7F7F7F에너지 보호막:"
"^x7F7F7FLevel:","^x7F7F7F레벨:"
"^x7F7F7FMana Cost:","^x7F7F7F마나 소비:"
"^x7F7F7FMana Reserved:","^x7F7F7F마나 점유:"
"^x7F7F7FQuality:","^x7F7F7F퀄리티:"
"^x7F7F7FRadius: ^7Medium","^x7F7F7F반경: ^7중간"
"^x7F7F7FSockets:","^x7F7F7F소켓:"
"^x7F7F7FWeapon Range:","^x7F7F7F사정거리:"
"{0} Dex","{0} 민첩"
"{0} Passive Points","{0} 패시브 포인트"
"{0} points to node","{0} 포인트 필요"
"{0}% Chance to Block","{0}% 블록 확률"
"{0}% to Elemental Resistances","원소 저항 {0}%"
"<No active skills>","<액티브 스킬 없음>"
"<No skills added yet>","<아직 스킬이 추가되지 않음>"
"<No spectres in build>","<빌드에 망령이 없음>"
"Abyss","심연"
"Abyssal {0}","심연 {0}"
"Activating this flask will give you:","이 플라스크를 활성화 하면 :"
"Active Skill {0}","액티브 스킬 {0}"
"Active Skill:","액티브 스킬:"
"Add Modifier to Item","아이템에 속성 부여 추가"
"Add to build","빌드에 추가"
"Added Min:","증가(최소):"
"All","전부"
"All Skills:","모든 스킬:"
"Allocating this node and all nodes leading to it will give you:","이 노드와 중간 노드를 점유하면 당신은:"
"Ambush","매복"
"Amulet:","목걸이:"
"Any league","모든 리그"
"Any type","모든 타입"
"AoE Radius:","범위 반경:"
"Are you sure you want to delete all items in this build?","이 빌드의 모든 항목을 삭제 하시겠습니까?"
"Armour Boots","방어 장화"
"Armour Gloves","방어 장갑"
"Armour multiplier","방어 배율"
"Armour/Energy Shield","방어/에너지보호막"
"Armour/Evasion/Energy Shield","방어/회피/에너지보호막"
"as it cannot be imported.","밴딧 설정을 확인하세요."
"Ascendancy","어센던시"
"Assassin","어쌔신"
"Attack Rate:","공격 속도:"
"Attributes in Radius","반경 안"
"Average Damage:","평균 피해:"
"Average Dmg. inc. Poison:","중독 평균 피해 증가:"
"Awakened","각성된"
"Base attack speed","기본 공격 속도"
"Base:","베이스:"
"Belt:","허리띠:"
"Bestiary","야수"
"between all of your builds.","모든 빌드 사이"
"Bleed DPS:","출혈 DPS:"
"Bloodlines","혈맹"
"Body Armour:","갑옷:"
"Boots:","장화:"
"Buffed","Buffed"
"Build Sharing","빌드 공유"
"Can support Dexterity threshold jewels","민첩 주얼 지원 가능"
"Can support Strength threshold jewels","힘 주얼 지원 가능"
"Cast Rate:","시전 속도:"
"Chaos Res. Over Max:","카오스 저항(최대):"
"Character Import","캐릭터 가져오기 : Idle"
"Character import status: Account profile is private.","캐릭터 가져오기 : 계정 프로필이 비공개입니다."
"Character import status: Idle","캐릭터 가져오기 : 계정 이름이 잘못되었습니다."
"Character import status: Passive tree and jewels successfully imported.","캐릭터 가져오기 : 패시브 트리와 주얼을 성공적으로 가져 왔습니다."
"Character import status: Retrieving character list...","캐릭터 가져오기: 캐릭터 목록을 가져오는 중..."
"Check for Update","업데이트 체크"
"Checking...","체크중..."
"Choose character to import data from:","가져올 캐릭터를 선택하세요"
"Claw","클로"
"Code is valid","코드가 유효합니다."
"Cold Resistance:","냉기 저항:"
"Consumes {0} of {1} Charges on use","Consumes {0} of {1} Charges on use"
"Copy","복사"
"Corrupt Item","타락한 아이템"
"Corrupted","타락된"
"Craft","제작"
"Craft item...","아이템 제작..."
"Crafted:","제작된:"
"Create","생성"
"Create custom...","커스텀 제작..."
"Crit Multiplier:","치명타 배율:"
"Current","흐름"
"Custom","커스텀"
"Deactivating this flask will give you:","Deactivating this flask will give you:"
"Decay DPS:","부패 DPS:"
"Default gem level:","기본 젬 레벨:"
"Delete","삭제"
"Delete all equipped items when importing.","가져올 때 기존 장비 모두 삭제"
"Delete all existing skills when importing.","가져올 때 기존 스킬 모두 삭제"
"Delete Item","아이템 삭제"
"Delete skills:","스킬 삭제:"
"Dexterity Required:","필요 민첩:"
"Dismiss","닫기"
"Domination","지배"
"Don't Save","저장 안함"
"Double-click an item from one of the lists,","리스트의 아이템을 더블 클릭하거나,"
"Duelist","듀얼리스트"
"Edit Item Text","아이템 텍스트 편집"
"Effective Crit Chance:","유효 치명타:"
"Effective DPS: Curses and enemy properties (such as resistances and status conditions) will also apply. This estimates your true DPS.","유효 DPS: 저주 및 적 속성 (예 : 저항 및 상태 조건)도 적용됩니다. 이것은 실제 DPS를 추정합니다."
"Elder Item","엘더 아이템"
"Elemental 1H Mace","원소 한손 둔기"
"Elemental 2H Axe","원소 양손 도끼"
"Elemental 2H Sword","원소 양손 도검"
"Elemental Claw","원소 클로"
"Elemental Sceptre","원소 셉터"
"Elemental Wand","원소 마법봉"
"Enable","활성화"
"Enchant","인챈트"
"Enchanted","인챈트된"
"Energy Shield Boots","에너지보호막 장화"
"Energy Shield Gloves","에너지보호막 장갑"
"Energy Shield Regen:","에너지보호막 재생:"
"Energy Shield:","에너지 보호막:"
"Enter name for this passive tree:","이 패시브 트리의 이름 입력:"
"Enter Pastebin.com link:","Pastebin.com 링크 입력"
"Equipping this item in Abyssal {0} will give you:","심연 {0}에 이 아이템을 장착하면:"
"Equipping this item in Belt will give you:","이 아이템을 허리띠에 장착하면:"
"Equipping this item in Boots will give you:","이 아이템을 장화에 장착하면:"
"Equipping this item in Helmet will give you:","이 아이템을 투구에 장착하면:"
"Equipping this item in Socket {0} will give you:","이 아이템을 {0} 소켓에 장착하면:"
"ES Leech/Gain per Hit:","에너지보호막 흡수/획득 비율:"
"Essence","에센스"
"Evade Chance:","회피 확률:"
"Evasion Boots","회피 장화"
"Evasion Gloves","회피 장갑"
"Evasion rating:","회피:"
"Evasion/Energy Shield","회피/에너지보호막"
"explicit","explicit"
"Fire Res. Over Max:","화염 저항(최대):"
