"Life Regen","생명력 재생"
"Grants Level {0} Aspect of the Cat Skill","{0}레벨 고양이의 위상 스킬 적용"
"Grants Level {0} Aspect of the Crab Skill","{0}레벨 게의 위상 스킬 적용"
"Grants Level {0} Decoy Totem Skill","{0}레벨 미끼 토템 스킬 적용"
"Grants Level {0} Enduring Cry Skill","{0}레벨 인내의 함성 스킬 적용"
"Grants Level {0} Herald of Ash Skill","{0}레벨 재의 전령 스킬 적용"
"Grants Level {0} Herald of Ice Skill","{0}레벨 얼음의 전령 스킬 적용"
"Grants Level {0} Herald of Thunder Skill","{0}레벨 천둥의 전령 스킬 적용"
"Grants Level {0} Intimidating Cry Skill","{0}레벨 위협의 함성 스킬 적용"
"Grants Level {0} Lightning Warp Skill","{0}레벨 번개 차원 이동 스킬 적용"
"Grants Level {0} Malevolence Skill","{0}레벨 악의 스킬 적용"
"Grants Level {0} Pride Skill","{0}레벨 자부심 스킬 부여"
"Grants Level {0} Rallying Cry Skill","{0}레벨 집결의 함성 스킬 적용"
"Grants Level {0} Smite Skill","{0}레벨 강타 스킬 획득"
"Grants Level {0} Aspect of the Spider Skill","{0}레벨 거미의 위상 스킬 적용"
"Grants Level {0} Vaal Impurity of Fire Skill","{0}레벨 바알 불의 부정함 스킬 적용"
"Grants Level {0} Vaal Impurity of Ice Skill","{0}레벨 바알 얼음의 부정함 스킬 적용"
"Grants Level {0} Vaal Impurity of Lightning Skill","{0}레벨 바알 번개의 부정함 스킬 적용"
"Grants Level {0} Zealotry Skill","{0}레벨 열광 스킬 적용"
"Trigger Level {0} Darktongue's Kiss when you Cast a Curse Skill","저주 스킬 시전 시 {0}레벨 다크텅의 입맞춤 발동"
"Trigger Level {0} Void Gaze when you use a Skill","스킬 사용 시 {0}레벨 공허의 응시 발동"
"Trigger Level {0} Storm Cascade when you Attack","공격 시 {0}레벨 태풍 폭포 발동"
"{0}% chance to Trigger Socketed Spells on Killing a Shocked Enemy","감전된 적 처치 시 장착된 주문 발동 확률 {0}%"
"Trigger Socketed Minion Spells on Kill with this Weapon","이 무기로 처치 시 장착된 소환수 주문 발동"
"{0}% chance to Trigger Socketed Minion Spells on Kill with this Weapon","이 무기로 처치 시 {0}%의 확률로 장착된 소환수 주문 발동"
"Trigger Socketed Spells when you Spend at least {0} Mana to Use a Skill","스킬 사용을 위해 {0} 이상의 마나 소모 시 장착된 주문 발동"
"{0}% chance to Trigger a Socketed Bow Skill when you Attack with a Bow","활로 공격 시 장착된 활 스킬 발동 확률 {0}%"
"Trigger a Socketed Bow Skill when you Attack with a Bow","활로 공격 시 장착된 활 스킬 발동"
"Triggers Level {0} Abberath's Fury when Equipped","장착 시 {0}레벨 아버라스의 광분 발동"
"Trigger Level {0} Fire Burst on Kill","처치 시 {0}레벨 화염 격발 발동"
"Trigger Level 20 Arcane Wake after Spending a total of 200 Mana","총 200마나 소모 시 20레벨 비전의 각성 발동"
"Trigger Level {0} Bone Nova when you Kill a Bleeding Enemy","출혈 중인 적 처치 시 {0}레벨 뼈 폭발 발동"
"{0}% chance to Trigger Level {1} Animate Weapon on Kill","처치 시 {0}%의 확률로 {1}레벨 무기 기동 발동"
"Triggers Level {0} Cold Aegis when Equipped","장착 시 {0}레벨 냉기의 비호 발동"
"Triggers Level {0} Elemental Aegis when Equipped","장착 시 {0}레벨 원소의 비호 발동"
"Triggers Level {0} Fire Aegis when Equipped","장착 시 {0}레벨 화염의 비호 발동"
"Triggers Level {0} Lightning Aegis when Equipped","장착 시 {0}레벨 번개의 비호 발동"
"Trigger Level {0} Lightning Bolt when you deal a Critical Strike","치명타를 준 경우 {0}레벨 낙뢰 발동"
"{0}% chance to Cast Level {1} Fire Burst on Hit","명중 시 {0}%의 확률로 {1}레벨 화염 격발 시전"
"{0}% chance to Trigger Level {1} Molten Burst on Melee Hit","근접 타격 시 {0}%의 확률로 {1}레벨 마그마 폭발 발동"
"{0}% chance to Trigger Level {1} Raise Spiders on Kill","처치 시 {0}%의 확률로 {1}레벨 거미 일으키기 발동"
"{0}% chance to Trigger Level {1} Summon Raging Spirit on Kill","처치 시 {0}%의 확률로 {1}레벨 격노의 유령 소환 발동"
"{0}% Chance to Trigger Level {1} Summon Spectral Wolf on Kill","처치 시 {0}%의 확률로 {1}레벨 영체 늑대 소환 발동"
"{0}% chance to Trigger Commandment of Inferno on Critical Strike","치명타 시 {0}%의 확률로 지옥불의 율령 발동"
"Trigger Commandment of Inferno on Critical Strike","치명타 시 지옥불의 율령 발동"
"Triggers Level {0} Death Walk when Equipped","장착 시 {0}레벨 죽음의 발걸음 발동"
"{0}% chance to Trigger Level {1} Blood Rage when you Kill an Enemy","적 처치 시 {0}%의 확률로 {1}레벨 피의 격노 발동"
"{0}% chance to Trigger Level {1} Animate Guardian's Weapon when Animated Guardian Kills an Enemy","움직이는 수호자가 적 처치 시 {0}%의 확률로 {1}레벨 수호자의 무기 움직이기 발동"
"{0}% chance to Trigger Level {1} Animate Guardian's Weapon when Animated Weapon Kills an Enemy","움직이는 무기가 적 처치 시 {0}%의 확률로 {1}레벨 움직이는 수호자의 무기 발동"
"{0}% chance to Trigger Level {1} Shade Form when you Use a Socketed Skill","장착된 스킬 사용 시 {0}%의 확률로 {1}레벨 그림자 형상 발동"
"{0}% chance to Trigger Level {1} Tornado when you gain Avian's Might or Avian's Flight","새의 힘 또는 새의 비행 획득 시 {0}%의 확률로 {1}레벨 회오리 발동"
"Trigger Level 20 Tornado when you gain Avian's Might or Avian's Flight","새의 힘 또는 새의 비행 획득 시 20레벨 회오리 발동"
"Trigger Level {0} Feast of Flesh every {1} seconds","{1}초마다 {0}레벨 육체의 연회 발동"
"Trigger Level {0} Elemental Warding when you Hit an Enemy while Cursed","저주에 걸린 동안 적 명중 시 {0}레벨 원소의 수호 발동"
"Trigger Level {0} Icicle Burst when you Kill a Frozen Enemy","동결된 적 처치 시 {0}레벨 고드름 격발 발동"
"Trigger Level {0} Intimidating Cry when you lose Cat's Stealth","고양이의 은신 손실 시 {0}레벨 위협의 함성 발동"
"Trigger Level {0} Rain of Arrows when you Attack with a Bow","활 공격 시 {0}레벨 화살비 발동"
"Trigger Level {0} Fog of War when your Trap is triggered","플레이어의 덫이 발동되면 {0}레벨 전장의 안개 발동"
"Trigger Level {0} Spirit Burst when you Use a Skill while you have a Spirit Charge","혼백 충전이 있는 동안 스킬 사용 시 {0}레벨 혼백 격발 발동"
"Trigger Level {0} Summon Phantasm Skill when you Consume a corpse","시신 소모 시 {0}레벨 환영 소환 스킬 발동"
"Consumes a Void Charge to Trigger Level {0} Void Shot when you fire Arrows","화살 발사 시 공허 충전을 소모하여 {0}레벨 공허 사격 발동"
"{0}% chance to Trigger Socketed Curse Skill when you cast a Curse Skill","저주 스킬 시전 시 장착된 저주 스킬 발동 확률 {0}%"
"Trigger Socketed Curse Skill when you cast a Curse Skill","저주 스킬 시전 시 장착된 저주 스킬 발동"
"{0}% chance to Trigger Level {1} Glimpse of Eternity when Hit","피격 시 {1}레벨 영원의 눈길 발동 확률 {0}%"
"{0}% chance to Trigger Level {1} Tentacle Whip on Kill","처치 시 {0}%의 확률로 {1}레벨 무기 촉수 채찍 발동"
"{0}% chance to Trigger Level {1} Summon Volatile Anomaly on Kill","처치 시{0}%의 확률로 {1}레벨 폭발성 이형 소환 발동"
"Trigger Level {0} Abyssal Cry on Hit","명중 시 {0}레벨 심연의 함성 발동"
"Trigger a Socketed Cold Spell on Melee Critical Strike","근접 치명타 시 장착된 냉기 주문 발동"
"{0}% chance to Trigger this skill when you Kill a Frozen Enemy","동결된 적 처치 시 이 스킬 발동 확률 {0}%"
"Trigger this skill when you Kill a Frozen Enemy","동결된 적 처치 시 이 스킬 발동"
"{0}% chance to Trigger a Socketed Spell when you Attack with this Weapon","이 무기로 공격 시 장착된 주문 발동 확률 {0}%"
"Trigger a Socketed Spell when you Attack with this Weapon","이 무기로 공격 시 장착된 주문 발동"
"{0}% chance to Trigger a Socketed Spell when you Use a Skill","스킬 사용 시 장착된 주문 발동 확률 {0}%"
"Trigger a Socketed Spell when you Use a Skill","스킬 사용 시 장착된 주문 발동"
"{0}% chance to Trigger Socketed Spells when you Focus","집중 시 장착된 주문 발동 확률 {0}%"
"Trigger Socketed Spells when you Focus","집중 시 장착된 주문 발동"
"Uses both hand slots","양손 슬롯 사용"
"{0} to Life Recovered","생명력 회복 {0}"
"{0}% increased Life Recovered","생명력 회복 {0}% 증가"
"{0}% reduced Life Recovered","생명력 회복 {0}% 감소"
"{0} to Mana Recovered","마나 회복 {0}"
"{0}% increased Mana Recovered","마나 회복 {0}% 증가"
"{0}% reduced Mana Recovered","마나 회복 {0}% 감소"
"{0}% increased Amount Recovered","회복량 {0}% 증가"
"{0}% reduced Amount Recovered","회복량 {0}% 감소"
"{0}% increased Recovery rate","회복 속도 {0}% 증가"
"{0}% reduced Recovery rate","회복 속도 {0}% 감소"
"{0} seconds of Recovery","회복 시간 {0}초"
"{0}% increased Recovery when on Low Life","낮은 생명력 상태에서 회복 {0}% 증가"
"Instant Recovery when on Low Life","낮은 생명력 상태가 되면 즉시 회복"
"{0}% of Recovery applied Instantly","회복량의 {0}%를 즉시 회복"
"Instant Recovery","즉시 회복"
"Removes {0}% of Mana Recovered from Life when used","사용 시 회복한 마나의 {0}%를 생명력에서 제거"
"Removes {0}% of Life Recovered from Life when used","사용 시 생명력에서 회복한 생명력의 {0}%를 제거"
"Removes {0}% of Life Recovered from Mana when used","사용 시 마나에서 회복한 생명력의 {0}%를 제거"
"Removes Frozen and Chilled on use","사용 시 동결 및 냉각 제거"
"Removes Burning on use","사용 시 화상 제거"
"{0}% increased Charges","충전 {0}% 증가"
"{0} to Maximum Charges","충전 최대치 {0}"
"{0}% increased Charge Recovery","충전 회복 {0}% 증가"
"{0}% increased Charges used","충전 소모량 {0}% 증가"
"{0}% reduced Charges used","충전 소모량 {0}% 감소"
"Recharges {0} Charge when you Consume an Ignited corpse","점화된 시신 소모 시 충전 {0} 재충전"
"Recharges {0} Charges when you Consume an Ignited corpse","점화된 시신 소모 시 충전 {0} 재충전"
"Recharges {0} Charge when you deal a Critical Strike","치명타를 주는 경우 충전 {0} 충전 재충전"
"Recharges {0} Charges when you deal a Critical Strike","치명타를 주는 경우 {0} 충전 재충전"
"{0}% chance to gain a Flask Charge when you deal a Critical Strike","치명타 피해를 줄 시 {0}%의 확률로 플라스크 충전 획득"
"Gain a Flask Charge when you deal a Critical Strike","치명타 피해를 줄 시 플라스크 충전 획득"
"Recharges {0} Charge when you take a Critical Strike","치명타 피격 시 충전 {0} 재충전"
"Recharges {0} Charges when you take a Critical Strike","치명타 피격 시 충전 {0} 재충전"
"{0}% increased Armour during Flask effect","플라스크 효과를 받는 동안 방어도 {0}% 증가"
"{0}% increased Evasion Rating during Flask effect","플라스크 효과를 받는 동안 회피 {0}% 증가"
"{0}% increased Energy Shield during Flask effect","플라스크 효과를 받는 동안 에너지 보호막 {0}% 증가"
"{0}% increased Movement Speed during Flask effect","플라스크 효과를 받는 동안 이동 속도 {0}% 증가"
"{0}% increased Block and Stun Recovery during Flask effect","플라스크 효과를 받는 동안 막기 및 기절 회복 {0}% 증가"
"{0}% additional Elemental Resistances during Flask effect","플라스크 효과를 받는 동안 추가 원소 저항 {0}%"
"{0}% of Physical Attack Damage Leeched as Life during Flask effect","플라스크 효과를 받는 동안 물리 공격 피해의 {0}%를 생명력으로 흡수"
"{0}% of Physical Attack Damage Leeched as Mana during Flask effect","플라스크 효과를 받는 동안 물리 공격 피해의 {0}%를 마나로 흡수"
"Adds Knockback to Melee Attacks during Flask effect","플라스크 효과를 받는 동안 근접 공격에 밀어내기 추가"
"{0}% of Physical Damage from Hits taken as Cold Damage during Flask effect","플라스크 효과를 받는 동안 받는 물리 피해의 {0}%를 냉기 피해로 받음"
"Gain {0}% of Physical Damage as Extra Cold Damage during effect","효과를 받는 동안 물리 피해의 {0}%를 추가 냉기 피해로 획득"
"{0}% chance to Avoid being Chilled during Flask Effect","플라스크 효과를 받는 동안 {0}%의 확률로 냉각 회피"
"Cannot be Chilled during Flask Effect","플라스크 효과를 받는 동안 냉각되지 않음"
"Chaos Damage does not bypass Energy Shield during effect","효과를 받는 동안 카오스 피해가 에너지 보호막에 막힘"
"{0}% chance to Avoid being Frozen during Flask Effect","플라스크 효과를 받는 동안 {0}%의 확률로 동결 회피"
"Cannot be Frozen during Flask Effect","플라스크 효과를 받는 동안 동결되지 않음"
"Grants Last Breath when you Use a Skill during Flask Effect, for {0}% of Mana Cost","플라스크 효과를 받는 동안 스킬 사용 시, 마나 소모의 {0}%만큼 마지막 숨결 적용"
"Skills fire an additional Projectile during Flask Effect","플라스크 효과를 받는 동안 스킬이 투사체를 추가로 발사"
"Skills fire {0} additional Projectiles during Flask Effect","플라스크 효과를 받는 동안 스킬이 투사체 {0}개를 추가로 발사"
"{0}% increased Mana Cost of Skills during Flask Effect","플라스크 효과를 받는 동안 스킬의 마나 소모 {0}% 증가"
"{0}% reduced Mana Cost of Skills during Flask Effect","플라스크 효과를 받는 동안 스킬의 마나 소모 {0}% 감소"
"Immune to Freeze, Chill, Curses and Stuns during Flask Effect","플라스크 효과를 받는 동안 동결, 냉각, 저주 및 기절에 면역"
"Enemies Ignited by you during Flask Effect take {0}% increased Damage","플라스크 효과를 받는 동안 점화된 적이 받는 피해 {0}% 증가"
"Enemies Ignited by you during Flask Effect take {0}% reduced Damage","플라스크 효과를 받는 동안 점화된 적이 받는 피해 {0}% 감소"
"Recover {0}% of Life when you Kill an Enemy during Flask Effect","플라스크 효과를 받는 동안 적 처치 시 생명력의 {0}%를 회복"
"Recover {0}% of Mana when you Kill an Enemy during Flask Effect","플라스크 효과를 받는 동안 적 처치 시 마나의 {0}%를 회복"
"Recover {0}% of Energy Shield when you Kill an Enemy during Flask Effect","플라스크 효과를 받는 동안 적 처치 시 에너지 보호막의 {0}%를 회복"
"Grants {0}% of Life Recovery to Minions","소환수의 생명력 회복 {0}%"
"Gain Unholy Might during Flask Effect","플라스크 효과를 받는 동안 불경한 힘 획득"
"Prevents Death during Flask effect","플라스크 효과를 받는 동안 사망 방지"
"Take {0} Chaos Damage per Second during Flask effect","플라스크 효과를 받는 동안 초당 {0} 카오스 피해를 받음"
